premium_customer,month,total_sales
Budget,201807,54703.6
Budget,201808,51690.7
Budget,201809,52125.6
Budget,201810,53646.3
Budget,201811,52358.8
Budget,201812,53851.8
Budget,201901,52617.2
Budget,201902,49689.9
Budget,201903,54280.1
Budget,201904,52472.9
Budget,201905,51496.25
Budget,201906,52473.7
Mainstream,201807,58810.1
Mainstream,201808,57990.25
Mainstream,201809,58168.0
Mainstream,201810,59602.6
Mainstream,201811,58108.9
Mainstream,201812,61555.5
Mainstream,201901,58978.5
Mainstream,201902,54159.2
Mainstream,201903,61175.6
Mainstream,201904,57359.8
Mainstream,201905,56052.95
Mainstream,201906,58904.0
Premium,201807,41000.8
Premium,201808,37741.1
Premium,201809,39765.3
Premium,201810,40199.2
Premium,201811,39141.8
Premium,201812,41054.3
Premium,201901,39998.1
Premium,201902,36630.9
Premium,201903,40317.1
Premium,201904,39541.5
Premium,201905,38751.15
Premium,201906,38758.2
