lifestage,premium_customer,month,total_sales,cust_type
MIDAGE SINGLES/COUPLES,Budget,201807,3056.0,MIDAGE SINGLES/COUPLES - Budget
MIDAGE SINGLES/COUPLES,Budget,201808,2654.2,MIDAGE SINGLES/COUPLES - Budget
MIDAGE SINGLES/COUPLES,Budget,201809,2836.3,MIDAGE SINGLES/COUPLES - Budget
MIDAGE SINGLES/COUPLES,Budget,201810,2791.8,MIDAGE SINGLES/COUPLES - Budget
MIDAGE SINGLES/COUPLES,Budget,201811,2527.0,MIDAGE SINGLES/COUPLES - Budget
MIDAGE SINGLES/COUPLES,Budget,201812,2831.7,MIDAGE SINGLES/COUPLES - Budget
MIDAGE SINGLES/COUPLES,Budget,201901,2801.3,MIDAGE SINGLES/COUPLES - Budget
MIDAGE SINGLES/COUPLES,Budget,201902,2456.7,MIDAGE SINGLES/COUPLES - Budget
MIDAGE SINGLES/COUPLES,Budget,201903,2754.0,MIDAGE SINGLES/COUPLES - Budget
MIDAGE SINGLES/COUPLES,Budget,201904,2852.5,MIDAGE SINGLES/COUPLES - Budget
MIDAGE SINGLES/COUPLES,Budget,201905,2974.6,MIDAGE SINGLES/COUPLES - Budget
MIDAGE SINGLES/COUPLES,Budget,201906,2809.6,MIDAGE SINGLES/COUPLES - Budget
MIDAGE SINGLES/COUPLES,Mainstream,201807,7199.0,MIDAGE SINGLES/COUPLES - Mainstream
MIDAGE SINGLES/COUPLES,Mainstream,201808,6972.2,MIDAGE SINGLES/COUPLES - Mainstream
MIDAGE SINGLES/COUPLES,Mainstream,201809,7223.7,MIDAGE SINGLES/COUPLES - Mainstream
MIDAGE SINGLES/COUPLES,Mainstream,201810,7123.8,MIDAGE SINGLES/COUPLES - Mainstream
MIDAGE SINGLES/COUPLES,Mainstream,201811,7075.3,MIDAGE SINGLES/COUPLES - Mainstream
MIDAGE SINGLES/COUPLES,Mainstream,201812,6954.6,MIDAGE SINGLES/COUPLES - Mainstream
